model,temperature,run,epsilon,f1_mean,f1_lo,f1_hi,mae_mean,mae_lo,mae_hi,cpmae_mean,cpmae_lo,cpmae_hi
minicpm-v4.5:8b,0.0,r1,0.8,0.16048120962929707,0.13669106862457508,0.18451697890059401,33.37448849343147,28.793931372549018,37.7869382142248,134.84935160506208,129.4090006794036,140.7103291403058
minicpm-v4.5:8b,0.0,r1,0.9,0.0926221252644089,0.07354020966936971,0.11296256069511883,35.84459827508665,29.998653846153847,42.01756792058516,142.20212901414857,136.88973275862068,147.8629211074589
minicpm-v4.5:8b,0.2,r1,0.5,0.6417405612364487,0.6104796219579542,0.6728013521808911,47.31389295906495,42.380730016313215,52.90875497677504,79.67825684080228,74.30475919758817,85.09566482098712
minicpm-v4.5:8b,0.2,r1,0.6,0.46910204025559915,0.431634469184631,0.5063580983240753,45.87137800730029,40.22038960380991,51.940363636363635,97.16377973491035,91.1090773455372,103.29896929426705
minicpm-v4.5:8b,0.2,r1,0.7,0.29813295862279265,0.2646829337812571,0.33165321850133084,49.898425833735,42.81578947368421,58.08629036028174,115.16426391900139,109.33320960004127,121.33999240465417
minicpm-v4.5:8b,0.2,r1,0.8,0.1620194420312314,0.13770315529702096,0.186250491998679,36.878762173823446,31.696193092621666,42.425697767145124,133.9581317167621,128.75608430443577,139.81296082297197
minicpm-v4.5:8b,0.2,r1,0.9,0.08969149295964493,0.07106432644778173,0.1083244142898834,38.320236013701376,30.10761128775835,46.65561403508772,142.06907083631208,136.76789172561024,147.7147908808073
minicpm-v4.5:8b,0.4,r1,0.5,0.6012242537347486,0.5682813271597392,0.6335940842693709,48.431273430834125,43.4521070017667,53.78384760042782,83.49611449663816,78.22132952095474,88.7606745167112
minicpm-v4.5:8b,0.4,r1,0.6,0.42724342900798185,0.39447040252565113,0.4591976422594698,48.8520505637866,43.22094495930843,55.31173826281005,102.1497953208996,96.7151715622448,107.80990003237818
minicpm-v4.5:8b,0.4,r1,0.7,0.24735687237293877,0.21840655414477686,0.2764045239037121,49.51218600423884,43.63483780816449,55.969047396611856,121.27090207762248,115.81025795126338,127.24060519484897
minicpm-v4.5:8b,0.4,r1,0.8,0.1386411872780267,0.1178363816001103,0.1613267334041212,36.90010602551872,31.825391275391276,41.8828421875,137.1833069443052,132.05760973671948,143.22375231027877
minicpm-v4.5:8b,0.4,r1,0.9,0.08013512033122437,0.06340864226202572,0.09785654775090197,41.11823456685354,33.79689222290263,48.51270193221413,143.47492631527595,138.35511074332712,149.06081869781687
minicpm-v4.5:8b,0.6,r1,0.5,0.6308695841054354,0.5990046687704768,0.6630204357133443,47.20125978264478,42.73751142400183,52.34968146084506,81.06257878979025,75.60273725429977,86.60832606680493
minicpm-v4.5:8b,0.6,r1,0.6,0.4507449391529069,0.4185007426779571,0.4820469377108597,46.65971497700671,41.53462210598628,52.75863570971867,99.48984669869158,93.65051183010263,105.70439116481218
minicpm-v4.5:8b,0.6,r1,0.7,0.27280359638634616,0.24257990972733973,0.3039859404134155,45.295808225241466,39.4975908177585,52.153118809838226,118.35672912896942,112.40634581902597,124.85584007734656
minicpm-v4.5:8b,0.6,r1,0.8,0.15291980887121226,0.1300687156695715,0.1770946659367993,33.25366710014014,28.515720183939873,38.12314814814815,135.25926360702582,129.6907907794108,141.443241424994
minicpm-v4.5:8b,0.6,r1,0.9,0.08782105995765156,0.07042901220664308,0.10560709923528992,35.09243895740122,28.35912394291755,42.397720588235295,142.22274204462133,136.69303374945977,148.07931702447246
